Zeitpunkt der Messung,Freie Parkplaetze,Gesamtkapazitaet
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
2020-06-11 21:23:04,0,0
